Identifier,Symbol,CompanyName,ACN,ABN,HomeMarket,GICSSector,GICSIndGrp,ASXSector,ASXSubSector,FormerNames,TradingStatus,ListDate,DelistDate,DelistReason,Address,City,State,Postcode,PhoneNumber,FaxNumber,WebAddress,EmailAddress,ISIN,RegistryId,Template,ASX300
TGR1,TGR1,Tropical Grapes Limited ,,,ASX,,,8,82,,Delisted,12/08/1987,27/08/1993,delisted due to failure to pay annual listing fee,Majors Creek Rd,Woodstock,QLD,4816,+61 7 7788 547,+61 7 7788 535,,,,4281,indus,0
TGS,TGS,Tiger Resources Limited,077 110 304,52 077 110 304,ASX,15,1510,1,12,"Tiger Resources NL, 01/02/2002",Delisted,8/05/1997,3/02/2020,"At the request of the Company, pending the release of an announcement.","Level 4, 1 Havelock St",West Perth,WA,6005,+61 8 6188 2000 ,+61 8 6188 2099 ,www.tigerresources.com.au,tiger@tigerez.com,AU000000TGS2,4025,indus,0
TGZ,TGZ,Teranga Gold Corporation,,,ASX,15,1510,,,,Delisted,10/12/2010,15/09/2017,Failure to lodge their Report for the period ended 30 June 2011 in accordance with listing rules.,"Suite 2600, 121 King StWest",Toronto,ON,M5H3T9,+1 41 6594 0000 ,+1 41 6594 0088 ,www.terangagold.com,investor@terangagold.com,AU000000TGZ7,4738,indus,0
THB,THB,Thunderbird Resources Limited,076 390 451,88 076 390 451,ASX,15,1510,1,12,"Lafayette Mining NL, 21/07/2000. Lafayette Mining Limited (LAF) pn 5/08/2009; Voyager Resources Limited (VOR), 03/12/2014; The Carajas Copper Company Limited (CJC), 06/02/2017; Valor Resources Limited (VAL) 08/04/2024",Trading,29/08/1997,,,"Level 3, 101 St Georges Tce",Perth,WA,6000,+61 8 9200 3467 ,+61 8 9227 6390 ,www.thunderbirdresources.com,info@valorresources.com.au,AU0000327504,4756,indus,0
THG,THG,Thakral Holdings Limited,054 346 315,95 054 346 315,ASX,40,4040,20,201, ,Delisted,17/06/1994,19/10/2012,delisted following compulsory acquisition by Bidco 1 Pty Limited,"Level 12, Thakral House, 301 George St",Sydney,NSW,2000,+61 2 9272 8888,+61 2 9272 8799,www.thakral.com.au,info@thakral.com.au,AU000000THG5,4673,propinvest,0
THL,THL,Tourism Holdings Rentals Limited,ARBN 655 142 028,,ASX,20,2030,,,,Trading,2/12/2022,,,470 Oruarangi Rd,Mangere,New Zealand,2022,+64 9 336 4299 ,+64 9 309 9269 ,www.thlonline.com,info@thlonline.com,NZHELE0001S9,4673,indus,0
THL-NZ,THL-NZ,Tourism Holdings Limited,,,NZSE,20,2030,24,243,,Trading,3/06/1986,,,470 Oruarangi Rd,Mangere Bridge,New Zealand,2022,+64 9 336 4299 ,+64 9 309 9269 ,www.thlonline.com,info@thlnz.co.nz,NZHELE0001S9,4631,indus,0
THO,THO,THO Services Limited,000 263 678,60 000 263 678,ASX,20,2010,22,222,"Cordukes Limited (CKS), 31/01/2006; Thomas & Coffey Limited (THO), 18/02/2014",Delisted,30/05/1996,30/08/2016,"delisted from the close of trading on Monday, 29 August 2016 pursuant to Listing rule 17.15.","Suite 7, Level 6, 66 Hunter St",Sydney ,NSW,2000,+61 2 9008 2000 ,+61 2 9008 2199 ,www.thoservices.com.au,,AU000000THO9,4738,indus,0
THO1,THO1,Tps Holdings Limited ,,,ASX,,,,,,Delisted,23/05/1986,14/06/1991,taken over by Atlas Steels Limited,"Unit D, 349 Lyons Rd",Five Dock,NSW,2046,+61 2 712 1388,+61 2 713 9088,,,,4330,indus,0
THR,THR,Thor Energy Plc,ARSN 121 117 623,121 117 673,ASX,15,1510,2,21,"Thor Mining Plc (THR), 20/01/2023",Trading,27/09/2006,,,"Salisbury House, London Wall",London,United Kingdom,EC2M 5PS,+44 20 7638 9271 ,+44 20 7628 7525 ,www.thormining.com,corporate@thormining.com,AU000000THR2,4738,indus,0
TI1,TI1,Tombador Iron Limited,108 958 274,20 108 958 274,ASX,15,1510,9,91,"Allied Brands Limited (ABQ), 29/11/2012; Allied Consolidated Limited (ABQ), 12/12/2013); Disruptive Investment Group Limited (DVI), 03/11/2016, iBuyNew Group Limited (IBN), 08/01/2020; Resa Group Limited (RE1), 25/09/2020",Suspended,22/11/2004,,,"Suite 1, Level 1, 3 Ord St",West Perth,WA,6005,+61 8 6382 1805 ,+61 2 8072 1440 ,www.tombadoriron.com,info@tombadoriron.com,AU0000107211,4756,indus,0
TIA,TIA,Tian An Australia Limited,009 134 114,12 009 134 114,ASX,60,6020,6,62,"Menzies Court Holdings Limited (MCT), 5/12/2002; Chardon Industries Ltd (CHA), 20/08/1996; Port Bouvard Limited (PBD), 8/7/2013; PBD Developments Limited (PBD), 13/04/2016",Trading,11/12/1985,,,"Level 6, 99 Macquarie St",Sydney,NSW,2000,+61 2 8243 9700 ,+61 2 8243 9799 ,www.tianan.com.au,admin@tianan.com.au,AU000000TIA6,4738,propinvest,0
TIC,TIC,Titan Corporation Limited ,003 503 615,,ASX,,,19,192,KEYDATA CORPORATION LIMITED (17/06/1993),Delisted,19/01/1989,31/08/1998,Failed to lodge annual listing fee with ASX.,"Level 12A, 440 Collins St",Melbourne,VIC,3000,+61 3 9602 2388,+61 3 9670 8325, ,,,4403,propinvest,0
TIE,TIE,Tietto Minerals Limited,143 493 118,53 143 493 118,ASX,15,1510,,,,Delisted,18/01/2018,7/06/2024,Following compulsory acquisition of its remaining securities by Zhaojin Capital  (Hong Kong) Limited.,4 Charles St,South Perth,WA,6151,+61 8 6392 0389 ,+61 8 6316 1428 ,www.tietto.com,admin@tietto.com,AU000000TIE8,4733,indus,0
TIF1,TIF1,Technology Investment Fund,,66 353 264 714,ASX,40,4020,19,191, ,Delisted,11/10/1999,29/07/2005,Persuant to memorandum dated 23/06/2005.,"Level 6, 175 Macquarie St",Sydney,NSW,2000,+61 2 9221 5133,+61 2 9221 6814,www.technologyinvestment.com.au,tif@gresham.com.au,,4738,propinvest,0
TIG,TIG,Tigers Realm Coal Limited,146 752 561,50 146 752 561,ASX,15,1510,,,,Suspended,29/08/2011,,,151 Wellington Pde,East Melbourne,VIC,3002,+61 3 8644 1300 ,,www.tigersrealmcoal.com,admin@tigersrealmcoal.com,AU000000TIG3,4596,indus,0
TIG1,TIG1,Tiger Investment Company Limited,,,ASX,,,19,192,,Delisted,31/05/1994,14/04/2000,Under listing rule 17.11 following the completion of the merger by Scheme of Arrangement with Metals Exploration Limited.,"Level 66, MLC Centre, 19-29 Martin Pl",Sydney,NSW,2000,+61 2 9238 2241,+61 2 9238 2242, ,,,,propinvest,0
TIH,TIH,Tillegrah Limited,112 379 503,,ASX,10,1010,11,111,"Coretrack Limited (CKK), 29/05/2015; LWP Technologies Limited (LWP), 30/01/2019",Delisted,31/08/2006,3/02/2020,In accordance with ASX's policy explained in section 3.4 of ASX Listing Rules Guidance Note 33 Removal of Entities from the ASX Official List.,"Suite 29, Level 54, 111 Eagle St",Brisbane,QLD,4000,+61 7 3122 2233 ,+61 7 3012 6699 ,www.lwptech.com,admin@lwptech.com,AU0000038309,4025,indus,0
TIL,TIL,Trilogy International Limited,ARBN 615 142 295,,ASX,30,3030,,,"Ecoya Limited (ECO-NZ), 03/06/2013",Delisted,21/10/2016,16/04/2018,"In accordance with listing rule 17.11, following implementation of the scheme of arrangement between the Company and its shareholders in connection with the acquisition of all the issued capital in the Company by CITIC Capital China Partners III, LP.","Level 6, Chelsea House 85 Fort St",Auckland,New Zealand,1010,+64 9 367 9486 ,+64 9 367 9473 ,www.tilbrands.com,,NZECOE0001S4,4738,indus,0
TIL-NZ,TIL-NZ,Trilogy International Limited,ARBN 615 142 295,,NZSE,30,3030,,,"Ecoya Limited (ECO-NZ), 03/06/2013",Delisted,3/05/2010,16/04/2018,,"Level 6, Chelsea House 85 Fort St",Auckland,New Zealand,1010,+64 9 367 9486 ,+64 9 367 9473 ,www.tilbrands.com,,NZECOE0001S4,4738,indus,0
TIL1,TIL1,Trilson Investments Limited ,,,ASX,,,,,,Delisted,18/03/1988,17/07/1991,Receipt of notification that shareholders have approved voluntary winding up of the company,"Level 20, 1 York St",Sydney,NSW,2000,+61 2 251 4100,+61 2 251 3832,,,,4330,indus,0
TIM,TIM,Timbercorp Limited,055 185 067,87 055 185 067,ASX,15,1510,19,192,"Timbercorp Eucalypts Limited (TIM), 31/08/1999.",Delisted,30/05/1996,30/08/2011,delisted as the company did not pay to ASX Limited their annual listing fees in respect of the year ending 30 June 2012,"Level 8, 461 Bourke St",Melbourne,VIC,3000,+61 3 8615 1200,+61 3 9670 4271,www.timbercorp.com.au,melb@timbercorp.com.au,AU000000TIM1,4737,indus,0
TIP,TIP,Teaminvest Private Group Limited,629 045 736,74 629 045 736,ASX,40,4020,,,,Trading,24/05/2019,,,"Level 1, 23 Ryde Rd",Pymble,NSW,2073,+61 2 9955 9540 ,+61 2 9416 2999 ,www.tipgroup.com.au,info@teaminvest.com.au,AU0000041717,4737,propinvest,0
TIR,TIR,Titan Resources Limited,007 247 154,77 007 247 154,ASX,15,1510,2,26,"Titan Resources NL (TIR), 19/1/2004",Delisted,16/02/1984,14/09/2006,Delisted pursuant to Listing Rule 17.14.,"Level 1, 24 Outram St",West Perth,WA,6005,+61 8 9481 6040,+61 8 9481 6035,www.titanresources.com.au,titan@titanresources.com.au,AU000000TIR0,4172,indus,0
TJH,TJH,J.N. Taylor Holdings Limited ,,,ASX,,,,,,Delisted,,12/07/1991,delisted by order of ASX,"Level 14, 26 St. Georges Tce",Perth,WA,6000,+61 9 324 6451,+61 9 325 4156,,,,4219,indus,0
TKA,TKA,Tusker Gold Limited,131 945 527,,ASX,15,1510,1,12,,Delisted,16/12/2009,23/05/2010,26 May 2010 following the compulsory acquisition of BUK Holdco Limited under its takeover offer.,"Level 3, IBM Building, 1060 Hay St",West Perth,WA,6005,+61 8 9480 0658,+61 8 9321 0320,www.indagoresources.com.au,,AU000000TKA2,4172,indus,0
TKA1,TKA1,Tekin Australia Limited,,,ASX,,,,,Far (Australia) Ltd,Delisted,,5/10/1990,delisted following the appointment of a liquidator and failure to pay annual listing fees,"Level 1, Stradbroke Plaza, 66 Marine Pde",Southport,QLD,4215,+61 7 5916 455,,,,,4244,indus,0
TKF,TKF,TikForce Limited,106 240 475,,ASX,45,4510,4,46,"Palace Resources Ltd (PXR), 05/12/2011; Padang Resources Ltd (PXR), 18/01/2013; Palace Resources Limited (PXR), 27/08/2015; Tikforce Ltd (TIK), 15/09/2015; Palace Resources Limited (PZR), 08/04/2016",Delisted,15/12/2006,28/01/2021,"At the request of the Company, pending the release of an announcement.",642 Newcastle St,Leederville,WA,6007,+61 8 6380 2555 ,+61 8 9381 1122 ,www.tkfltd.com,company@tkfltd.com,AU000000TKF1,4676,indus,0
TKG,TKG,Takoradi Limited,006 708 676,12 006 708 676,ASX,15,1510,1,12,"Takoradi Gold NL (TKG), 14/04/2000.",Delisted,15/10/1987,27/06/2017,Pending an announcement regarding a significant capital restructure of the Company.,"Level 11, CGU Tower, 485 La Trobe St",Melbourne,NSW,3000,+61 2 9252 6844 ,+61 2 9252 8801 ,www.takoradi.com.au,,AU000000TKG9,4737,indus,0
TKI,TKI,Task Investments Limited ,,,ASX,,,,,,Delisted,1/07/1987,3/10/1990,Failure to pay annual listing fees,"Level 5, 160 St. George Tce",Perth,WA,6000,+61 9 321 3619,+61 9 321 3612,,,,4405,indus,0
TKL,TKL,Traka Resources Limited,103 323 173,63 103 323 173,ASX,15,1510,2,21,,Trading,20/11/2003,,,"Level G, 43 Ventnor Ave",West Perth,WA,6005,+61 8 9322 1655 ,+61 8 9322 9144 ,www.trakaresources.com.au,traka@trakaresources.com.au,AU000000TKL9,4025,indus,0
TKM,TKM,Trek Metals Limited,ARBN 124 462 826,,ASX,15,1510,2,27,"Zambezi Resources Limited (ZRL), 17/01/2017",Trading,5/07/2007,,,"Level 4, Vallis Building, 58-Par-la-Ville Rd",Hamilton,Bermuda,11,,,www.trekmetals.com.au,info@trekmetals.com.au,AU000000TKM7,4758,indus,0
TKO,TKO,Takor Group Ltd,,,ASX,45,4510,,,,Withdrawn Float,,,,"Unit 28, 12 Cowcher Pl",Belmont,WA,6104,,,www.takor.com.au,companysecretary@takor.com.au,AU000000TKO3,4676,indus,0
TKR,TKR,Triako Resources Limited,008 498 119,46 008 498 119,ASX,15,1510,1,11, ,Delisted,19/04/1984,18/10/2006,Delisted pursuant to Listing Rule 17.14.,"Level 3, 2 Elizabeth Plza",North Sydney,NSW,2060,+61 2 9925 8100 ,+61 2 9925 8111 ,www.triako.com.au,triako@tirako.com.au,AU000000TKR6,4736,indus,0
TLA,TLA,Tourism Asset Holdings Ltd,060 896 568,,ASX,,,20,201, ,Delisted,28/06/1996,14/12/2001,Pursuant to the Listing Rule 17.14 following compulsory acquisition by Bainton Pty Ltd under its takeover offer.,"Level 46, MLC Centre, 19-29 Martin Pl",Sydney,NSW,2000,+61 2 9367 0488,+61 2 9367 0499,www.tahl.com.au,tahl@tahl.com.au,,4738,propinvest,0
TLC,TLC,The Lottery Corporation Limited,081 925 706,21 081 925 706,ASX,25,2530,,,,Trading,24/05/2022,,,"Level 8, 180 Ann St",Brisbane,QLD,4000,+61 7 3001 9300 ,,www.thelotterycorporation.com,investor@thelotterycorporation.com,AU0000219529,4673,indus,1
TLC1,TLC1,Tourism And Leisure Corporation Limited ,,,ASX,,,,,,Delisted,1/05/1986,9/08/1990,delisted at request of Receiver and Manager,"Level 1, 1 Little Collins St",Melbourne,VIC,3000,+61 3 654 8411,,,,,,indus,0
TLC2,TLC2,"Tourism, Hotels & Leisure Limited",006 430 075,41 006 430 075,ASX,25,2530,24,242,"Travel Holdings Limited (TRV), 20/1/2005; Park Plaza Kemayan Limited (PPL), 26/08/2003; Kemayan Hotels & Leisure Ltd (KHL), 08/07/1998; Gillies Food Industries Ltd (GFI), 05/09/1996. ",Delisted,15/08/1985,3/10/2006,Delisted pursuant to Listing rule 17.14.,"Level 9, 234 Sussex St",Sydney,NSW,2000,+61 2 8080 8888,+61 2 8080 8899,www.tourismhotelsleisure.com,corporateoffice@pacificinthotels.com,AU000000TLC6,4738,indus,0
TLD,TLD,Tabora Limited,,,ASX,,,,,,Withdrawn Float,,,,338 Hay St,Subiaco,WA,6008,+61 8 9388 6069 ,+61 8 6380 1026 ,www.tabora.com.au,,AU000000TLD4,4025,indus,0
TLG,TLG,Talga Group Ltd,138 405 419,32 138 405 419,ASX,15,1510,1,12,"Talga Gold Limited (TLG), 12/11/2012; Talga Resources Ltd (TLG), 20/11/2020",Trading,9/07/2010,,,"Suite 3.03, Level 3, 46 Colin St",West Perth,WA,6005,+61 8 9481 6667 ,+61 8 9322 1935 ,www.talgagroup.com,info@talgagroup.com,AU000000TLG7,4758,indus,0
TLH,TLH,Talison Lithium Limited,140 122 078,,ASX,15,1510,2,22,,Delisted,,10/12/2009,,,,,,,,www.talisonlithium.com,,AU000000TLH5,,indus,0
TLM,TLM,Talisman Mining Limited,079 536 495,71 079 536 495,ASX,15,1510,2,21,Millennium Platinum Mines NL. (January 2002),Trading,25/11/2005,,,"Suite 1, Level G, 33 Colin St",West Perth,WA,6005,+61 8 9380 4230 ,+61 8 9382 8200 ,www.talismanmining.com.au,info@talismanmining.com.au,AU000000TLM5,4635,indus,0
TLP,TLP,Telecomputing Holdings Limited ,,,ASX,,,,,,Delisted,20/07/1989,2/10/1991,delisted due to failure to pay annual listing fee,16-18 Waltham St,Artarmon,NSW,2064,,,,,,4439,indus,0
TLS,TLS,Telstra Group Limited,051 775 556,33 051 775 556,ASX,50,5010,18,181,"Telstra Corporation Limited (TLS), 20/10/2022",Trading,17/11/1997,,,"Level 41, 242 Exhibition St",Melbourne,VIC,3000,+61 3 8647 4839 ,+61 3 9650 0989 ,www.telstra.com.au,investor.relations@team.telstra.com,AU000000TLS2,4596,indus,1
TLT,TLT,Tilt Renewables Limited,613 749 616,,ASX,55,5510,,,"Tilt Renewables Limited (TRE), 29/11/2016",Delisted,28/10/2016,4/08/2021,"In accordance with listing rule 17.11, following implementation of the scheme of arrangement between TLT and its shareholders in connection with the acquisition of all the issued capital in TLT by Pisa Obligor Co 1 Pty Ltd.","Level 30, Vero Centre, 48 Shortland St",Auckland,New Zealand,1010,,,www.tiltrenewables.com,info@tiltrenewables.com,NZTLTE0003S8,4737,indus,0
TLT-NZ,TLT-NZ,Tilt Renewables Limited,613 749 616,,NZSE,55,5510,,,"Tilt Renewables Limited (TRE), 29/11/2016",Delisted,28/10/2016,4/08/2021,,"Level 30, Vero Centre, 48 Shortland St",Auckland,New Zealand,1010,,,www.tiltrenewables.com,info@tiltrenewables.com,,4737,indus,0
TLT1,TLT1,Tourism & Leisure Trust,ARSN 093 566 039,,ASX,40,4040,20,201,"Oakford Property Trust (OKF), 05/07/1999.",Delisted,7/08/1997,1/02/2007,pursuant to Listing Rule 17.11.,"Level 5, 40 Miller St",North Sydney,NSW,2060,+61 2 9080 8200 ,+61 2 9080 8152 ,,,,4738,propinvest,0
TLX,TLX,Telix Pharmaceuticals Limited,616 620 369,85 616 620 369,ASX,35,3520,,,,Trading,15/11/2017,,,55 Flemington Rd,North Melbourne,VIC,3051,+61 4 4914 8448 ,,www.telixpharma.com,info@telixpharma.com,AU000000TLX2,4673,indus,1
TLZ,TLZ,Telezon Limited,009 151 277,33 009 151 277,ASX,35,3510,18,184,"Min-Tech 8 Limited (MTC), 07/09/2001; Min-Tech 8 NL (MTC), 27/08/1999; Yinnex NL (YNX), 10/12/1998.",Delisted,17/04/1986,24/11/2011,delisted from SIM VSE,"Caribbean Business Park, 1 Dalmore Dr Scoresby",Scoresby,VIC,3179,+61 3 9763 8605,,www.telezon.com,,AU000000TLZ7,4676,indus,0
TM1,TM1,Terra Metals Limited,155 933 010,44 155 933 010,ASX,15,1510,,,"Paringa Resources Limited (PNL), 04/05/2022; GCX Metals Limited (GCX), 18/04/2024",Trading,20/12/2012,,,"Level 9, 28 The Esp",Perth,WA,6000,+61 8 9322 6322 ,+61 8 9322 6558 ,https://terrametals.com.au,info@terrametals.com.au,AU0000329302,4025,indus,0
TMA,TMA,TMA Group of Companies Limited,006 627 087,66 006 627 087,ASX,15,1510,22,221,"M. Asia Pacific Investments Ltd (MPI), 16/12/1997; Just China Holdings (JUS), 18/05/1995; Mark Sensing Limited (MPI), 8/12/2009.",Delisted,31/12/1993,1/11/2011,delisted following the request of the Company,4-6 Straits Ave,Granville,NSW,2142,+61 3 9720 7886,+61 3 9720 7940,www.tmagroup.com.au,customerservice@tmagroup.com.au,AU000000TMA8,4736,indus,0
TMA1,TMA1,Tubemakers of Australia Limited,007 519 646,,ASX,,,11,111,,Delisted,4/12/1969,9/05/1996,Takeover by BHP Ltd,"Level 23, 1 York St",Sydney,NSW,2000,+61 2 239 6666,+61 2 251 3042, ,,,4260,indus,0
TMB,TMB,Tambourah Metals Ltd,646 651 612,19 646 651 612,ASX,15,1510,,,,Trading,12/08/2021,,,"Unit 2, Level 2, 10 Ord St",West Perth,WA,6005,+61 8 9481 8669 ,,www.tambourahmetals.com.au,admin@tambourahmetals.com.au,AU0000161879,4756,indus,0
TME,TME,Tungsten Metals Group Ltd,118 738 999,,ASX,15,1510,,,,UpcomingFloat,,,,"Level 2, 22 Mount St",Perth,WA,6000,+61 8 6188 8181 ,,www.tungstenmetalsgroup.com,,AU0000347353,4756,indus,0
TME-NZ,TME-NZ,Trade Me Group Limited,ARBN 154 115 723,,NZSE,25,2550,,,,Delisted,13/12/2011,9/05/2019,,"Level 5, 2 Market Ln",Wellington,New Zealand,6011,,,www.trademe.co.nz,investors@trademe.co.nz,NZTMEE0003S8,4730,indus,0
TME1,TME1,Trade Me Group Limited,ARBN 154 115 723,,ASX,15,1510,,,,Delisted,13/12/2011,9/05/2019,"Following approval of shareholders regarding a Scheme ImplementationAÿAgreement with Titan AcquisitionCo New Zealand Limited, for the acquisition byAÿTitan of all the shares in TME.","Level 5, 2 Market Ln",Wellington,New Zealand,6011,,,www.trademe.co.nz,investors@trademe.co.nz,AU0000347353,4730,indus,0
TMG,TMG,Trigg Minerals Limited,168 269 752,26 168 269 752,ASX,15,1510,,,"Trigg Mining Ltd (TMG), 24/08/2022",Trading,3/10/2019,,,"Suite 2, 68 Hay St",Subiaco,WA,6008,+61 8 6256 4403 ,,www.trigg.com.au,info@trigg.com.au,AU0000046021,4756,indus,0
TMI,TMI,Traprock Mining Limited,,,ASX,,,,,,Withdrawn Float,,,,"Level 16, C/- SYA Corporate Services Pty Ltd, 344 Queen St",Brisbane,QLD,4000,+61 7 3221 6022 ,+61 7 3221 6625 ,www.traprock.com.au,,AU000000TMI1,3976,indus,0
TMK,TMK,TMK Energy Limited,127 735 442,66 127 735 442,ASX,10,1010,4,42,"Kilgore Oil & Gas Limited (KOG), 1/12/2011; Tamaska Oil & Gas Ltd (TMK), 23/02/2022",Trading,10/07/2008,,,3 Richardson St,West Perth,WA,6005,+61 8 6319 1900 ,+61 8 9320 4750 ,www.tmkenergy.com.au,info@tmkenergy.com.au,AU000000TMK7,4756,indus,0
TML,TML,Timah Resources Limited,123 981 537,69 123 981 537,ASX,55,5510,,,,Trading,16/09/2015,,,28 Drummond St,Carlton,VIC,3053,+61 2 8054 1886 ,+61 2 2547 3886 ,www.timahresources.com.au,info@timahresources.com.au,AU000000TML5,4736,indus,0
TML1,TML1,THOMPSON LAND LIMITED,,,ASX,,,,,,Delisted,19/12/1986,3/10/1990,Following the appointment of a Receiver and Manager and failure to pay listing fees,52-62 Stud Rd,Bayswater,VIC,3155,+61 3 720 2566,+61 3 720 3522,,,,,indus,0
TMM,TMM,Tasmania Mines Limited,009 491 990,45 009 491 990,ASX,15,1510,2,23,Tasminex NL 18/11/1985; Tasmania Mines NL 22/12/1986,Delisted,13/11/1969,16/05/2017,"delisted from the close of trading on Monday, 15 May 2017, pursuant to Listing rule 17.11.",15265 Bass Hwy,Somerset,TAS,7322,+61 3 6435 1556 ,+61 3 6431 8982 ,www.tasmines.com.au,,AU000000TMM3,4596,indus,0
TMN,TMN,Telemedia Networks International Limited,088 636 373,62 088 636 373,ASX,45,4520,18,183, ,Delisted,26/10/1999,29/08/2005,Removed from the official list pursuant to listing rule 17.15,"Level 1, Chifley Tower, 32 Walker St",Sydney,NSW,2060,+61 2 9929 9598,+61 2 9929 5279,www.telemedia.co.nz,,AU000000TMN1,4738,indus,0
TMP1,TMP1,TMP Worldwide Inc. ,,,ASX,,,22,222,,Delisted,14/12/1998,15/02/2001,Removed from the Official List pursuant to Listing Rule 17.11.,"Level 33, 1633 Broadway","New York, NY",USA,10019,+1 212 977 4200,+1 212 956 2142, ,,,,indus,0
TMR1,TMR1,Tamaya Resources Limited,071 349 249,45 071 349 249,ASX,15,1510,1,11,"SMC Gold Limited (SMO), 30/11/2006.",Delisted,31/01/2001,30/08/2010,Delisted in accordance with listing rule 17.15.,"Level 12, 75 Elizabeth St",Sydney,NSW,2000,+61 2 9223 2088,+61 2 9223 3088,www.tamayaresources.com,info@tamayaresources.com,AU000000TMR2,4005,indus,0
TMS,TMS,Tennant Minerals Limited,086 471 007,25 086 471 007,ASX,15,1510,2,25,"Blina Diamonds NL (BDI), 21/03/2011; Blina Minerals NL (BDI), 06/04/2021;Tennant Minerals NL (TMS), 02/12/2021",Trading,17/08/2004,,,283 Rokeby Rd,Subiaco,WA,6008,,,www.tennantminerals.com,general@blinaminerals.com.au,AU0000142945,4758,indus,0
TMT,TMT,Technology Metals Australia Limited,612 531 389,64 612 531 389,ASX,15,1510,,,,Delisted,21/12/2016,5/02/2024,Following the release by the Company of an announcement regarding a pre-feasibility study.,"Suite 9, 330 Churchill Ave",Subiaco,WA,6008,+61 8 6489 1600 ,+61 8 6489 1601 ,www.tmtlimited.com.au,investors@tmtlimited.com.au,AU000000TMT8,4733,indus,0
TMX,TMX,Terrain Minerals Limited,116 153 514,45 116 153 514,ASX,15,1510,1,11,,Trading,23/03/2006,,,"Suite 2, 28 Outram St",West Perth,WA,6005,+61 8 9381 5558 ,+61 8 6141 3599 ,www.terrainminerals.com.au,terrain@terrainminerals.com.au,AU000000TMX0,4025,indus,0
TNA,TNA,Tartana Resources Limited,,,ASX,15,1510,,,,Withdrawn Float,,,,169 Blues Point Rd,North Sydney,NSW,2060,+61 2 9392 8032 ,+61 2 9279 2727 ,www.tartanaresources.com.au,admin@tartanaresources.com.au,AU0000051237,4736,indus,0
TNC,TNC,True North Copper Limited,119 421 868,28 119 421 868,ASX,15,1510,,,"Duke Exploration Limited  (DEX), 05/06/2023",Trading,10/11/2020,,,"Great Australia Mine, Round Oak Rd",Cloncurry,QLD,4824,+61 7 4031 0644 ,,www.truenorthcopper.com.au,,AU0000282246,4758,indus,0
TNC1,TNC1,Trans National Securities Limited ,,,ASX,,,6,62,,Delisted,,27/08/1993,delisted due to failure to pay annual listing fee,"Level 2, 25 Falcon St",Crows Nest,NSW,2000,+61 2 436 3322,+61 2 438 4713,,,,4408,indus,0
TNE,TNE,Technology One Limited,010 487 180,84 010 487 180,ASX,45,4510,22,226,,Trading,8/12/1999,,,"Level 11, TechnologyOne HQ, 540 Wickham St",Fortitude Valley,QLD,4006,+61 7 3167 7300 ,+61 7 3167 7301 ,www.technology1.com,support@technology1.com.au,AU000000TNE8,4673,indus,1
TNI,TNI,Tenet Investments Limited ,,,ASX,,,,,,Delisted,29/04/1987,2/10/1991,delisted due to failure to pay annual listing fee,"Level 4, Griffin Centre, 28 The Esplanade",Perth,WA,6000,+61 9 481 1979,+61 9 481 1912,,,,4172,indus,0
TNK,TNK,Think Childcare Limited,600 793 388,,ASX,25,2530,,,"Think Childcare And Education Limited (TNK), 30/06/2015",Delisted,24/10/2014,25/10/2021,Following the admission of Think Childcare Development Limited (TND) and the completion of the stapling of the securities of TNK and TND.,"Suite 3, 1 Park Ave",Drummoyne,NSW,2047,+61 2 9712 7444 ,+61 2 9712 7555 ,www.thinkchildcare.com.au,ir@thinkchildcare.com.au,AU000000TNK5,4737,indus,0
TNN,TNN,Tenon Limited,,34 857 192 425,ASX,15,1510,12,121,"Fletcher Challenge Forests Limited (FFS), 29/2/2004; Fletcher Challenge Limited (FLC), 17/04/2001. Refer to FLC regarding separation programme.",Delisted,17/04/2001,2/10/2004,Pursuant to Listing Rule 17.11,"Fletcher Challenge Forests House, 8 Rockridge Ave",Penrose,New Zealand,,+64 9 571 9800,+64 9 571 9801,www.tenon.co.nz,investor-relations@tenon.co.nz,,4738,indus,0
TNN-NZ,TNN-NZ,Tenon Limited,,34 857 192 425,NZSE,15,1510,12,121,"Fletcher Challenge Forests Limited (FFS), 29/2/2004; Fletcher Challenge Limited (FLC), 17/04/2001. Refer to FLC regarding separation programme.",Delisted,17/04/2001,2/10/2004,Pursuant to Listing Rule 17.11,"Fletcher Challenge Forests House, 8 Rockridge Ave",Penrose,New Zealand,,+64 9 571 9800,+64 9 571 9801,www.tenon.co.nz,investor-relations@tenon.co.nz,,4099,indus,0
TNR1,TNR1,Turner Corporation Limited ,001 120 378,,ASX,,,21,214,,Delisted,,27/05/1993,delisted for breach of Listing Rules 3J (9) and 3J (13),"Level 4, Turner House, 2 Elizabeth Pl",North Sydney,NSW,2060,+61 2 922 5333,+61 2 923 2509,,,,4280,indus,0
TNS,TNS,Transonic Travel Limited,,35 103 179 326,ASX,25,2530,22,222,,Delisted,14/05/2004,20/07/2006,pursuant to Listing Rule 17.14.,403 George St,Sydney,NSW,2000,+61 2 9244 2222,,www.transonictravel.com.au,,AU000000TNS8,3976,indus,0
